チャンネル名	クラス		テキスト
it-life-hack	0		「隠れSATAポート」を活用！eSATAによる外付けに挑戦 - 続インテル SSD 520をMacに装着 (上)
kaden-channel	1		実験みたい！？あっという間に水道水から炭酸水を作るおもしろソーダメーカー
kaden-channel	1		ツイッターでストレス発散？　ローラが老人の弁当のおかずを聞かれ「もちーo(^u^)o」
kaden-channel	1		「暑い」といえば涼しくなる！世界初の声に反応するエアコン「大清快ＶＯｉＣＥ　ＮＤＲシリーズ」が東芝から発売
it-life-hack	0		アナタはどっち派？「谷間」対「太もも」　じわじわ広がる「#女子ふともも晒し祭り」
it-life-hack	0		重量を当ててUltrabookをゲット！ NEC LaVie Zの重さ当てクイズ
kaden-channel	1		ヤマダ電機へ対抗で業界２位へ！　ビックカメラがコジマを買収でポイントはどうなる？
it-life-hack	0		次に見れるのは3年後？　先週末に見れたブルームーンが綺麗だと話題に
kaden-channel	1		みんな使ってる？　Google＋の国内利用者数は220万人
it-life-hack	0		高品質なレッツノートの工場！開発現場並みの検査施設
kaden-channel	1		11月号 別冊付録 キヤノン iVIS HF G10 Perfect Book
it-life-hack	0		iPhone、iPodの音質が劇的改善！ 「FANTABIT」で音楽に革命を
it-life-hack	0		Firefoxの超簡単ブックマーク登録ワザ
kaden-channel	1		ピカチュウにいつでも会える！　Huluに大人気の「ポケモン」シリーズが初登場!!　キッズも大満足の400話以上が視聴可能に
it-life-hack	0		GoogleドライブのファイルをiPhoneからダイレクトに編集する
it-life-hack	0		日本最大級のショッピングポータルがオープン！「イオンスクエア」が凄い理由
kaden-channel	1		使い方が想像できないと話題！　Googleショッピングで販売中のミシンがすごい
it-life-hack	0		古いWiFi環境に追加するだけ！　最大300Mbps通信を可能にする家電用アクセスポイント
kaden-channel	1		シンプルが一番—シャープ空気清浄機FU-A51
it-life-hack	0		正論。でもしんどいときもある！孫社長「人生は己の判断で決めるべき」
it-life-hack	0		トラブル解決に役立つMSのサイト！Windows Sysinternals TechCenter
it-life-hack	0		PSPソックリのAndroid端末が登場！レッドスター、携帯ゲーム機「JXD 5000」を販売へ
kaden-channel	1		本格的なみそ汁をマルコメがサポート！　バージョンアップした小型みそ汁サーバーと新具材が販売開始
kaden-channel	1		あなたのIDは大丈夫？　「楽天ポイント」の不正利用問題、被害規模は拡大か
it-life-hack	0		こんこん、ふぉっくす紺子です！MMD動画、配信中です
it-life-hack	0		芸能・ゴシップネタはこちら！ ITライフハックでは読めない話題は三面貴族で読もう！
kaden-channel	1		スマホを自分で除菌するのが新常識に！？　手軽な小型紫外線滅菌器「UVサニタイザー」がオススメ
kaden-channel	1		MOOK「デジタルムービー実践ガイドブック」映像リンク情報
kaden-channel	1		ケータイでテレビを見るのは当たり前「ひかりTV」が年内にモバイル専用プラン開始
it-life-hack	0		面白い生放送がわかる新機能　ニコ生の「ルーキーランキング」と「Tweetまとめ」を試した
it-life-hack	0		iPhone撮影の手ブレを防ぐ！ iPhone用のシャッター延長アクセサリー
it-life-hack	0		こんこん、ふぉっくす紺子だよ！踊ってる紺子動画も見に行ってね
it-life-hack	0		ユニークなアイデアが満載！目からウロコの商品しか売らないショップ
it-life-hack	0		脳トレしたい人にオススメ！NumberLink – Sudoku style game
kaden-channel	1		10月11日〜16日に一番売れたデジカメはキャノン「IXY 600F」
kaden-channel	1		ハンサムな夫婦のための子育て電動自転車に新色が新発売—ブリジストン「HYDEE.B（ハイディビー）」
kaden-channel	1		これは便利！　iPhoneにキーボードを付けられるケースが登場
kaden-channel	1		中国における日本文化が解禁。日本アニメが正規配信され中国で大ブーム
kaden-channel	1		SANYOの歴史終わる……今後はパナソニックに統合
kaden-channel	1		タイ洪水被害でパソコン、デジタルカメラ生産に影響
it-life-hack	0		蘇れ青春！俺のオリジナル編集MDをスマホで聞いてくれ計画
it-life-hack	0		DL罰則化の動きが気になる！　ネットで盛り上がった話題を振り返る
kaden-channel	1		KDDIがiPhone向けアプリ「auお客さまサポート」 をリリース
kaden-channel	1		これなら手が届く！　2万円以下の家庭用放射線計測器大集合
kaden-channel	1		もうひと息、ホームメイドアイスで猛暑を乗り切れ！アイスクリームメーカー特集
it-life-hack	0		なるほど、そういうことか！Googleロゴが写真である理由
it-life-hack	0		大人のユーモア、大人の対応ですね！孫社長が自分の髪の毛にコメント
it-life-hack	0		最新PLC規格は最大240Mbps！　アイ・オー・データ機器より第3世代HD-PLCアダプター
kaden-channel	1		トイレでお小遣い稼ぎができるかも？　自分のトイレを有料で貸し出すアプリ
it-life-hack	0		本体なしでも育成とゲームが可能！ スマートペット育成記 （2）
it-life-hack	0		わずか7分で散会！ 改正著作権法案が参院文教科学委員会を通過し本会議へ！
kaden-channel	1		雷対策でパソコンを守ろう
it-life-hack	0		おはこんです！紺子のＭＭＤ動画が流れる予定ですっ
kaden-channel	1		電磁波が原因！あなたはの体調不良は「電磁波過敏症」かも？
kaden-channel	1		４つのアイテムでスタイリング！　いつもの写真をワンランクアップしてかわいい写真を撮る方法
it-life-hack	0		本日のGoogleロゴはテーブルテニス　Googleロゴがスポーツ関連画像に変化第四弾
kaden-channel	1		EDIUS 3D プレビューバージョン テスター募集のお知らせ
kaden-channel	1		開業まであと少し！　東京スカイツリーと星空をお風呂でも楽しめる『ＨＯＭＥＳＴＡＲ　ＡＱＵＡ東京スカイツリー（Ｒ）　粋風／雅風』
it-life-hack	0		いい大人が癒やされたくなった！ スマートペット育成記 （1）
it-life-hack	0		個性派Facebookにしよう！　みんなと違う背景にする方法
kaden-channel	1		USBとシガーソケット電源対応加湿器GH-USB-MISTM
it-life-hack	0		緊急速報！ちょっとしたアクシデントも発生！最強の電子ブックリーダー「kobo Touch」開封レポ
kaden-channel	1		美人過ぎる低周波治療器!?　アクセサリー感覚の「ネックリフレ」新発売
kaden-channel	1		過去３００年の新聞をすべてアーカイブ！　大英国図書館が有料サービスを開始
it-life-hack	0		納得いかない写真は見せない！　Facebookのタグ付き写真は承認する
it-life-hack	0		HDD内を徹底調査！PageDefragのお供に最適なDiskView
it-life-hack	0		Facebookに潜む「乗っ取り」のリスク！　SNS対策レポートをソースネクストが公表
kaden-channel	1		人気のエネループにおいしそうなシリーズが限定登場！
it-life-hack	0		イザというときのZohoがパワーアップ！ZohoのオフィスシリーズがGoogleドライブと連携
kaden-channel	1		嘘泣きじゃない！　柳美里が北朝鮮市民の涙のワケを解説
kaden-channel	1		ブラックマジックデザイン、Final Cut Pro X 10.0.3ブロードキャストモニタリングに対応
kaden-channel	1		今年は満を持して新製品ラッシュ？ソニーからデジタル一眼カメラ“α”（アルファ）シリーズ発売
it-life-hack	0		衆院を通過しカウントダウン開始！　違法ダウンロード刑罰化改正法案
kaden-channel	1		復帰間近か？　宇多田ヒカルの活発なツイッターに注目
it-life-hack	0		iPadでオリンピックを見よう！地デジを無線化して、どこでもテレビだ
kaden-channel	1		人間より丁寧に掃除！賢さがアップした「ルンバ700シリーズ」
it-life-hack	0		新しいウィンドウを素早く開いて次の作業を開始
kaden-channel	1		スマホで熱中症を避ける
it-life-hack	0		スマホやタブレットの活用グッズが満載！　バッテリー切れから車載対応までイケショップで解決！
kaden-channel	1		子どもだけにはもったいない！　トイストーリーの世界を体験できそうなカメラ付きミニカー
it-life-hack	0		iPad/iPhoneの文字入力を快適に！Bluetooth対応ワイヤレスキーボード
kaden-channel	1		豪徳寺美鈴お気に入りのレンジはなに？　「Kiss」で連載スタートの「家電の女」を読んでみた
kaden-channel	1		３D映像にハマる！ソニーのゴーグル型ディスプレイHMZ-T1
it-life-hack	0		話題のスマホに最適な高級ケース！AQUOS PHONE SoftBank 103SH用ケース
kaden-channel	1		速い！　進化したオートフォーカスは0.1秒！！　リコーが「CX6」を発売
kaden-channel	1		虐待だ！の声多数、日テレで人気のワンコが声帯除去手術を受けていた事実に非難殺到
it-life-hack	0		今日は、そういう日だったのか！Googleロゴが馬の写真である理由
kaden-channel	1		薄型テレビ：アーリーアダプターは買い替えの季節か？
kaden-channel	1		アンドロイドアプリを徹底解説！「Appmax」がデザインを一新
it-life-hack	0		「なつき度」アップで要求が次々！ スマートペット育成記 (3)
it-life-hack	0		テレビ電話にもなる！ iPad対応のBluetoothキーボードとハンドセット
kaden-channel	1		やっぱりマリオはスーパーだった？　任天堂をマリオが救う！
it-life-hack	0		Ultrabookで使えるポータブルBD！パイオニアの世界最小・最軽量のBD/DVD/CDライターの性能に驚愕
it-life-hack	0		「Ubuntu One」はLinux対応 楽曲ストリーミング対応のクラウド
it-life-hack	0		ラジオ会館×カムイがコラボ！ふぉっくす紺子ちゃんが応援
kaden-channel	1		アメリカではすでに導入の「グーグルショッピング」ってなに？
it-life-hack	0		スマホでシャッター＋デジタル一眼レフ画質のAPS HDセンサー搭載ミラーレスデジ一眼「NEX-5R」を発表
kaden-channel	1		「韓流ばかり」「すべてがゴリ押し」テレビを見なくなった理由は？
kaden-channel	1		自覚のなさにびっくり！　AKB脱退騒動から見るソーシャルメディアの危険
it-life-hack	0		Windowsをより快適に使うノウハウ集
kaden-channel	1		第11回上映 小田 学 監督作品 『二人』
it-life-hack	0		ニコニコ超会議振り返り①　本気（マジ）の痛車のスゴさを実感
it-life-hack	0		ニコニコ超会議の来場者が9万人超え、配信での来場者は347万人超
it-life-hack	0		液晶を開けて自動復帰と電源入り パソコンの使い勝手を改善 
kaden-channel	1		おサイフケータイで体重と血圧データをウェブサイトのアカウントにお手軽転送
kaden-channel	1		スマホで選んだ話題を印刷！　イギリス発の小さなプリンターがかわいい
it-life-hack	0		より低消費電力なCPUにも対応！　ZOTACのmini-ITXマザーがXeon E3シリーズをサポート
it-life-hack	0		Facebookドリームから飛び出した19歳！驚くほどパワフルな写真の秘密を探る
kaden-channel	1		憧れのオシャレ家電をお得にゲット！　「アマダナ」福袋2012予約受付スタート
it-life-hack	0		お得に購入できる裏技あり！楽天の書籍端末が凄い5つの理由
it-life-hack	0		ユニークな両面液晶PC！次世代PCを見たCOMPTEXから変化があった新型ThinkPadまで
kaden-channel	1		コミック150巻が収納できる！　雑誌や写真集も楽しめる7型最軽量クラスの電子ブックリーダー東芝BookPlace DB50
it-life-hack	0		スマホ対応も進んで続々と機能アップ！進化するクラウド型ストレージサービス
it-life-hack	0		ハイスペックのグラフィックスを搭載！マウスコンピューター、コスパに優れた高性能ゲームPCを発売
it-life-hack	0		直感的に使えるマジックリモコン！LG、3D対応の液晶テレビ「LG Smart TV」が凄い
kaden-channel	1		連載●After Effects 天国への階段 第8回
kaden-channel	1		お気に入りのコスプレをいつでも鑑賞！　日本最大のコスプレコミュニティサイト「Cure」 がアンドロイド向けアプリをリリース
kaden-channel	1		声に反応！　東芝の「VoiPY」で電化製品を声でコントロール
it-life-hack	0		七人の侍によって開発された新素材！　NECのLaVie Zで使われた新素材の開発秘話
kaden-channel	1		ほぼ２人に１人はスマホ持ち！　アメリカでのスマホ普及が広がる
it-life-hack	0		ある日突然犯罪者扱いに？　無許可ダウンロードの罰則化が引き起こす問題
kaden-channel	1		まるでお抱えＤＪ！快適に踊り続けるための音楽プレーヤー新発売
it-life-hack	0		スマホからもアクセスできるNAS！アイ・オー・データ機器の高速NASのレビューアー10名を募集
it-life-hack	0		お気に入り写真がアイコンに！　写真フォルダー分類術
kaden-channel	1		白物家電はやっぱり店頭買いが主流！　洗濯機のネット通販はたった3.2％
kaden-channel	1		着脱式ソーラーパネル搭載、外出先で充電できるメンズバッグシリーズ「HALOS」
it-life-hack	0		スマホでカーナビを実現！純正ドリンクホルダーがスマホホルダーに早変わり
it-life-hack	0		オリンピック期間中は毎日更新？　Googleロゴがスポーツ関連画像に変化！
kaden-channel	1		視聴率は上がるか？　それともお茶の間が凍りつくか？　NHK大河が視聴率回復へ向けて濡れ場投入
it-life-hack	0		世界一周に挑戦する学生にiPadを贈る！孫社長の粋なはからいに感動の嵐
kaden-channel	1		音の編集講座「ステレオとモノラル」
kaden-channel	1		８２０億！　フェイスブックが画像共有サービス「インスタグラム」を買収
it-life-hack	0		ふぉっくす紺子だよ！完売の声がぞくしゅつちゅう
it-life-hack	0		これじゃない感バリバリ！　ファミマの初音ミクコラボ肉まんが話題に
kaden-channel	1		大ヒットのiPhone4Sが年末までに世界での販売エリアを大幅拡大
it-life-hack	0		ニコニコ動画：Zero地味に改善中！　動画視聴用の「ZeroWatch」新バージョンにアップデート
it-life-hack	0		またひとつサービスが消える！ドコモwebメールを終了する理由
it-life-hack	0		ダウンロードカードも販売！ 任天堂によるソフトダウンロード販売の詳細が明らかに
it-life-hack	0		AKB48の広告が動き出す HPのAR広告キャンペーン
kaden-channel	1		寒い冬はヒーター付きのマフラーであたたかに！　無印良品から「充電式マフラー」登場
it-life-hack	0		海外でも快適インターネット！KDDI、「au Wi-Fi SPOT」のサービスを拡充
it-life-hack	0		あと40cm高い津波で原発事故？孫社長が明かした東海村の怖い話
it-life-hack	0		美しさが際立つ新Xperiaが発売へ！ドコモ、Xperia NX SO-02Dが凄い
kaden-channel	1		音声で危険を知らせてくれるコンロは忙しい人にもおすすめ！—アイリスオーヤマ『ガラストップＩＨクッキングヒーター音声タイプ』
kaden-channel	1		地球の未来に参加しよう！　ネットで地球サミットに自分の意見を届けるチャンス
kaden-channel	1		今年一番秋葉でがんばったのはだれ？　PC萌えキャラ人気コンテスト投票開始
kaden-channel	1		QRコードが照明になった「Wooden QR Code Stool」がおしゃれすぎる
kaden-channel	1		いったいナゼ？　ヤマダ電機が苦戦の理由
kaden-channel	1		家族でもっと楽しめる「未来型料理生活」をチェック
it-life-hack	0		アナタはこの誘惑に耐えられるか？　猫の肉球だけ集めた写真がスゴイ
kaden-channel	1		キーワードはスカパー！この秋パナソニック、シャープ、ソニーからブルーレイレコーダー新機種が続々登場
kaden-channel	1		ネットの炎上で有料メルマガが人気に！　有名飲食店経営者に非難集中【話題】　
it-life-hack	0		石より早く土台が登場！　IVY Bridge対応チップセット「Intel 7シリーズ」解禁！
it-life-hack	0		iPhoneアプリを子どもが勝手に使えないようにする
kaden-channel	1		連載●一眼流映像表現術 第21回
kaden-channel	1		新技術４Kに集まる注目と期待！　４Kテレビは家庭に普及するのか？
it-life-hack	0		モックアップで製品を選べる？ 古い手法で販売されるスマホ
it-life-hack	0		Twitterの影響力マジパねぇ！　東大駒場校舎で行われた無料耳かきサービスに人だかり
it-life-hack	0		本日のGoogleロゴは棒高跳　Googleロゴがスポーツ関連画像に変化第六弾
kaden-channel	1		放射線計測の基礎知識をおさらいしてみよう
it-life-hack	0		今週末は北海道へGo！　ニコニコ町会議in 北海道長万部町の詳細決定
it-life-hack	0		ネタにマジレス何それ痛い！　Twitter義務化のパロディニュースに釣られる人続出！
kaden-channel	1		ランニングのお供に。ソニーからヘッドホン一体型ウォークマン「ＮＷＤ−Ｗ２６３」発売 へ
kaden-channel	1		おもちゃじゃない！　脳波で動く「necomimi（ネコミミ）」の仕組みを開発者に聞いてきました
it-life-hack	0		これは気づかなかった！古いノートPCがWebテレビに格安で変身する裏技
kaden-channel	1		フルカラーしかも無線対応—史上最強のペンライト「ルミコネ」
it-life-hack	0		毅然とした態度で臨んでいく！グリー田中社長が訴訟の判決にコメント
it-life-hack	0		Word文章の重要部分に蛍光ペンでマークする
kaden-channel	1		10月11日〜16日に一番売れたＢＤレコーダーは「ブルーレイディーガ BRT300」
it-life-hack	0		"Windows 8優待購入プログラム解禁！　ドスパラなら1,200円でWindows 8にアップグレード"
it-life-hack	0		Wordで表の列幅や行幅をピッタリ微調整する
kaden-channel	1		家電チャンネルの記事も配信！向かうところ敵なしのスマホアプリ「ITニュース by livedoor ニュース」 
kaden-channel	1		「これからは電子書籍かな？」　中日マスコットのドアラが「コアラ坂」リリースへ
kaden-channel	1		デジタル双眼鏡はビデオカメラの進化形なのか？
it-life-hack	0		超豪邸の賃料が3〜4万円！？　中国で借りた家の賃料が安いと話題に！
kaden-channel	1		電子書籍市場をこっそり支えるのは女の子のエッチな願望？
kaden-channel	1		知らなきゃソン！　知ってるだけで得をする「賢い家電の買い方」大研究
it-life-hack	0		知りたいニュースがここにある！職業別最新ITニュース活用法
it-life-hack	0		例のあのメニューも！ニコニコ超会議のフードコートメニュー14種類紹介（後半）
kaden-channel	1		空前の子役ブームに衝撃？　大橋のぞみ引退から見る子役の引き際とは
kaden-channel	1		iPadの独占が終了！　アンドロイドの追撃に市場シェアが96％から67％に大幅ダウン
kaden-channel	1		家のテレビで簡単にHuluを楽しむ！「WD TVR Liveストリーミングメディアプレーヤー」を使ってみた
it-life-hack	0		便利と危険は背中合わせ！BIOSロックでデータ盗み取りを防げ
kaden-channel	1		Facebook投稿で原因発覚？　イタリアの豪華客船、船長がいいとこ見せたくて事故か？
it-life-hack	0		クラウドより便利で速い！安全！大容量！デュアルHDDで大事なデータを守る必殺技
it-life-hack	0		Ultrabookのその先へ COMPTEX で次世代パソコンが見えた
it-life-hack	0		関西の3G回線の実用度をチェック！ うらやまし過ぎる3GとWiMAXの使い分けができる通信環境
it-life-hack	0		デジタルガジェット新製品は？　6月の大規模展示会複数開催で発表あるか？
kaden-channel	1		ソニーの「4Kホームシアタープロジェクター」で映画館の臨場感を
kaden-channel	1		ニッポン放送で明日「Windows Phone祭り」が開催！
kaden-channel	1		自分好みのお店が必ず見つかると噂のソーシャルグルメサイト「Retty」ってなに？
kaden-channel	1		11月号付録 キヤノン iVIS HF G10 Perfect Book 丸かじりダウンロード
kaden-channel	1		知らない間にみんなはげっそり！　自慢症候群がまわりに疲労を生んでいる
kaden-channel	1		恋愛禁止に疑問！　AKBメンバーが「恋愛したらほぼ失職ってすごいな」とGoogle＋でコメント
kaden-channel	1		年末商戦大ピンチ！タイの大洪水でHDDの価格高騰、品不足の恐れ
it-life-hack	0		ウィンドウを閉じずにデスクトップのアイコンを操作するマル秘ワザ
it-life-hack	0		揃いの色や柄、オリジナルプリントで一体感！ポロシャツのプロが運営するユニフォームタウン
kaden-channel	1		露出を理解してクリエイティブな写真を撮る！プロのテクに近づく露出を学ぶ
kaden-channel	1		次世代PSなのか!? 部屋と一体になる映像システムのコンセプト映像公開—ソニー
it-life-hack	0		現実的では無い！孫社長 Twitter読者の発言に反論
kaden-channel	1		「老後どうすんの？」さんまの質問にメッシが激怒！　テレビが凍りついた瞬間
it-life-hack	0		ドデカクーラー登場！　ZALMANより6本ヒートパイプの巨大CPUクーラー
it-life-hack	0		米テレビ番組がiPhone工場に潜入！
kaden-channel	1		ブラックマジックデザイン、Thunderbolt対応のIntensity Shuttleを発売
it-life-hack	0		Facebook使いこなしも指南！ Office系ネットサービスの使い方まで使い方指南
kaden-channel	1		アートをもっと楽しむ！　キース・へリング展にARが採用される
kaden-channel	1		アウトドア＆モバイル移動放送局
kaden-channel	1		パナソニックが節電指南！「エコナビ」イベントで家電のムダと節電のヒントを紹介
it-life-hack	0		ダウンロード版ゲームはお得に購入できるのか？ 新たに始まった任天堂のダウンロード版ゲーム
it-life-hack	0		アナタはもう見た金環食？　あいにくの天気だった人はネットで楽しもう！
it-life-hack	0		安価に作るマルチディスプレイ環境　独自拡張のグラボ「「FLEX HD7770 GHZ EDITION」
kaden-channel	1		ロボットに洗ってもらってリフレッシュ！　パナソニックが洗髪などを行える「ヘッドケアロボット」の試用運用を開始
it-life-hack	0		ガジェット使い方新提案！　小技の効いたハイテク家電使いこなし術
kaden-channel	1		クリスマスはテレビを見よう！　２３日はNHKスペシャル「世界を変えた男 スティーブ・ジョブズ」が放送に
it-life-hack	0		残暑見舞い挨拶の簡単挿入や書式の再利用　文書をカッコ良く効率的に作るWordの小技集
kaden-channel	1		かわいい姿に怒れない！ねこ界のブーム「ごめん寝」はネットでも話題に
